,equity_net
2020-07-02,994186.6660655079
2020-07-03,989354.3933949987
2020-07-06,983318.5148321152
2020-07-07,979510.3206770445
2020-07-08,976457.1905371738
2020-07-09,973178.289721559
2020-07-10,962405.3753934108
2020-07-13,958537.2113561379
2020-07-14,968329.1633694987
2020-07-15,970748.9987997243
2020-07-16,974192.1034356601
2020-07-17,975448.6874832612
2020-07-20,968325.9898864409
2020-07-21,962639.7638431117
2020-07-22,956510.8665012637
2020-07-23,956183.2714001995
2020-07-24,955504.3021997965
2020-07-27,951156.1827370329
2020-07-28,948233.0603028145
2020-07-29,951868.9583290055
2020-07-30,946341.140186043
2020-07-31,954102.9239955182
2020-08-03,952787.3429463655
2020-08-04,953459.7485288066
2020-08-05,960201.1166057935
2020-08-06,964018.3052551723
2020-08-07,964140.26156854
2020-08-10,966825.137907438
2020-08-11,970514.7981385358
2020-08-12,971512.4401637687
2020-08-13,970606.4980834151
2020-08-14,968734.5297088689
2020-08-17,965412.7129171671
2020-08-18,963539.7535169224
2020-08-19,969731.8722105197
2020-08-20,972412.2809950496
2020-08-21,975979.3512994122
2020-08-24,978794.5410764759
2020-08-25,977010.1514663183
2020-08-26,971888.7656826465
2020-08-27,978785.0621044388
2020-08-28,981453.251277264
2020-08-31,987268.4922361188
2020-09-01,986229.688232285
2020-09-02,990678.4540446455
2020-09-03,992980.4443558814
2020-09-04,992959.7713114797
2020-09-07,988464.7987900263
2020-09-08,996606.7964823012
2020-09-09,996828.3306845058
2020-09-10,994807.4105506674
2020-09-11,999690.8743394073
2020-09-14,1005879.8855737057
2020-09-15,1004975.8954453722
2020-09-16,1003734.3028750898
2020-09-17,999710.4221515985
2020-09-18,998557.6946974293
2020-09-21,997015.6476318969
2020-09-22,997212.1780005279
2020-09-23,995415.7268831877
2020-09-24,999109.267727427
2020-09-25,999552.3039075681
2020-09-28,997682.0690789369
2020-09-29,1003350.6569662177
2020-09-30,999580.053748314
2020-10-01,996621.1272390982
2020-10-02,990928.7520363225
2020-10-05,993731.0881724813
2020-10-06,995870.2568395338
2020-10-07,994116.9464583914
2020-10-08,997711.2770749152
2020-10-09,990692.4061612026
2020-10-12,996065.3725529864
2020-10-13,995121.8986690347
2020-10-14,995789.9528597227
2020-10-15,1001585.3747171785
2020-10-16,1000978.6545365191
2020-10-19,1006203.4409732278
2020-10-20,1008544.3406893844
2020-10-21,1006923.2822507407
2020-10-22,1012842.2836579448
2020-10-23,1011746.9063783139
2020-10-26,999552.9889323503
2020-10-27,1000961.4600098765
2020-10-28,993822.0514272493
2020-10-29,988821.9866791103
2020-10-30,976931.6285246409
2020-11-02,977433.1672928592
2020-11-03,974883.6295413757
2020-11-04,971771.3328861011
2020-11-05,964627.6659272717
2020-11-06,969155.8922596199
2020-11-09,969461.458761845
2020-11-10,970055.3801385155
2020-11-11,974374.2047679854
2020-11-12,975778.1646666761
2020-11-13,980281.9852119348
2020-11-16,976088.274429165
2020-11-17,981657.0348085349
2020-11-18,978489.7973135819
2020-11-19,980192.1572974602
2020-11-20,984692.7528903058
2020-11-23,982177.6344896336
2020-11-24,985702.4075035027
2020-11-25,987976.7705823698
2020-11-26,987302.8567196191
2020-11-27,989273.5495228857
2020-11-30,980421.7267849921
2020-12-01,974370.4352899007
2020-12-02,976963.1809983979
2020-12-03,975994.17526165
2020-12-04,976694.6869585115
2020-12-07,974925.8771970962
2020-12-08,967279.3759735908
2020-12-09,966870.1837102817
2020-12-10,977112.9312663309
2020-12-11,972740.9763772604
2020-12-14,970068.5950399962
2020-12-15,963341.0999368158
2020-12-16,963110.4711851509
2020-12-17,956526.945635193
2020-12-18,954361.0976455308
2020-12-21,948256.5389151359
2020-12-22,950474.5702639512
2020-12-23,953697.3667558741
2020-12-24,952248.2367951582
2020-12-25,949494.9511271537
2020-12-28,950078.195108579
2020-12-29,945193.198640766
2020-12-30,941986.8965587792
2020-12-31,938545.8549098741
2021-01-01,942920.8383243331
2021-01-04,935892.2348125137
2021-01-05,933940.6673186874
2021-01-06,931075.3862702055
2021-01-07,936007.6369418692
2021-01-08,939504.9682591063
2021-01-11,939067.7346180447
2021-01-12,934940.3379522357
2021-01-13,940305.9564881875
2021-01-14,932699.6997297084
2021-01-15,936260.7705015257
2021-01-18,938472.1767305083
2021-01-19,933596.1280860241
2021-01-20,929320.0008950747
2021-01-21,925626.5237606706
2021-01-22,928280.9202510847
2021-01-25,929672.8963536351
2021-01-26,928049.5952549521
2021-01-27,930381.5336038454
2021-01-28,925634.6364007624
2021-01-29,929244.0539364784
2021-02-01,919287.7590058402
2021-02-02,917347.3656306504
2021-02-03,919524.7689179941
2021-02-04,918096.6013541463
2021-02-05,921409.2969515881
2021-02-08,918626.5197727684
2021-02-09,915218.9698351492
2021-02-10,914441.6417103276
2021-02-11,912434.7857264541
2021-02-12,923244.7543965532
2021-02-15,918023.7416198595
