,equity_gross
2020-07-02,994684.0080695427
2020-07-03,990237.9533734838
2020-07-06,984262.1242659407
2020-07-07,980655.8606285194
2020-07-08,978088.2039467213
2020-07-09,975054.2376970609
2020-07-10,964404.7308827991
2020-07-13,960818.2089399204
2020-07-14,971098.7081769044
2020-07-15,974012.4708802751
2020-07-16,977653.3530518895
2020-07-17,979377.287242257
2020-07-20,972538.8493261206
2020-07-21,967150.4998723839
2020-07-22,961167.6193891225
2020-07-23,961291.4938218081
2020-07-24,961081.0446879497
2020-07-27,957052.3095470084
2020-07-28,954412.0856719208
2020-07-29,958405.973565613
2020-07-30,953316.851236809
2020-07-31,961616.6573740189
2020-08-03,960721.6617632277
2020-08-04,961520.6710141889
2020-08-05,968319.0332596216
2020-08-06,972168.4939182407
2020-08-07,972291.4812980904
2020-08-10,975106.5741392941
2020-08-11,979236.0549860438
2020-08-12,980733.0285535578
2020-08-13,980308.6425319235
2020-08-14,978750.7318935123
2020-08-17,975521.4563869666
2020-08-18,973810.0231549016
2020-08-19,980105.0664678133
2020-08-20,982923.626966129
2020-08-21,986629.981212256
2020-08-24,989531.403832729
2020-08-25,987883.0629301126
2020-08-26,982799.5529215293
2020-08-27,990071.8668079918
2020-08-28,992979.9641750869
2020-08-31,999005.3144806067
2020-09-01,998367.5713571382
2020-09-02,1003172.0076215569
2020-09-03,1005842.6596625407
2020-09-04,1006105.2166178258
2020-09-07,1001727.8061870926
2020-09-08,1010126.3762111135
2020-09-09,1010547.9082215161
2020-09-10,1008621.9238456781
2020-09-11,1013901.668417465
2020-09-14,1020364.3426550336
2020-09-15,1019517.750709037
2020-09-16,1018348.1808225785
2020-09-17,1014289.5470873747
2020-09-18,1013202.214338676
2020-09-21,1011715.5416299575
2020-09-22,1011946.5400526182
2020-09-23,1010123.545375386
2020-09-24,1013871.6603305857
2020-09-25,1014381.2659863153
2020-09-28,1012658.5606859999
2020-09-29,1018467.1102003993
2020-09-30,1014813.8584345713
2020-10-01,1011809.8372795056
2020-10-02,1006030.709113108
2020-10-05,1008875.7534257689
2020-10-06,1011047.5234613088
2020-10-07,1009398.3091942322
2020-10-08,1013104.3003860916
2020-10-09,1006131.8118315215
2020-10-12,1011665.128831995
2020-10-13,1010999.8365899901
2020-10-14,1011914.9947305864
2020-10-15,1017918.6813228448
2020-10-16,1017476.1381503766
2020-10-19,1022992.3008704721
2020-10-20,1025517.4276948738
2020-10-21,1024014.0435468189
2020-10-22,1030292.7194158647
2020-10-23,1029228.8682438537
2020-10-26,1016859.9926434301
2020-10-27,1018450.7559876894
2020-10-28,1011370.9917743726
2020-10-29,1006432.0334286091
2020-10-30,994448.9044289312
2020-11-02,995102.4208622178
2020-11-03,993002.0436148131
2020-11-04,990119.3862472597
2020-11-05,983264.4179374067
2020-11-06,988260.3506182715
2020-11-09,989039.0997113483
2020-11-10,990109.908185945
2020-11-11,995015.5261919273
2020-11-12,996947.7016848207
2020-11-13,1002050.2578829989
2020-11-16,997937.7900418596
2020-11-17,1004058.3525162272
2020-11-18,1000943.1279773455
2020-11-19,1002869.8697009198
2020-11-20,1007603.1433627822
2020-11-23,1005156.6789101021
2020-11-24,1008924.7857991403
2020-11-25,1011348.271420179
2020-11-26,1010878.0272632651
2020-11-27,1013092.1214336974
2020-11-30,1004248.4177003088
2020-12-01,998073.0267258774
2020-12-02,1001077.6340201623
2020-12-03,1000375.0675195435
2020-12-04,1001305.1396676057
2020-12-07,999991.75585908
2020-12-08,992451.0324114093
2020-12-09,992443.5198121119
2020-12-10,1003299.9982921877
2020-12-11,999149.8132073578
2020-12-14,996681.427144913
